Name,Team,Level,Age,G,AB,PA,H,HR,R,BB/K,Spd,Pull%,LD%,GB/FB,HBP,PlayerId
Dillan Shrum,KCR,AA,26,111,397,457,93,16,60,0.3125,3.2719554962500004,0.4140625,0.24,0.711711711,12,sa3017111
Jack Winkler,OAK,AA,25,127,470,536,105,8,66,0.41025641,6.2129590693867005,0.46218487,0.21590909,1.059701492,13,sa3017393
Luca Tresh,KCR,AA,24,97,352,400,88,14,47,0.37755102,2.12596524625,0.56704981,0.255813953,0.92,4,sa3017394
Denzel Clarke,OAK,AA,24,116,431,478,116,13,74,0.272727272,8.608854453739404,0.44290657,0.250883392,2.072463768,7,sa3017426
Harry Ford,SEA,AA,21,116,430,523,107,7,72,0.64347826,6.424250254272095,0.46540881,0.232258064,0.859375,16,sa3017627
Aaron Zavala,TEX,AA,24,118,416,498,93,5,53,0.45323741,4.314845590523937,0.32752613,0.197132616,0.792,9,sa3017665
Jake Rucker,MIN,AA,24,121,468,515,122,9,55,0.454545454,3.303336823458332,0.46329114,0.259067357,1.08759124,8,sa3017757
Griffin Lockwood-Powell,LAD,AA,26,111,420,469,97,14,49,0.37037037,2.3158988471009203,0.4511041,0.221864951,0.819548872,5,sa3019303
Hogan Windish,SEA,AA,25,124,436,518,95,15,66,0.389221556,5.8153175946443145,0.42181818,0.244444444,1.147368421,12,sa3019805
R.J. Yeager,STL,AA,25,113,422,467,107,15,62,0.533333333,4.474699393899606,0.4673913,0.185595567,0.699421965,8,sa3019840
Nathan Church,STL,AA,23,127,482,541,129,9,81,0.716666666,6.124461098497205,0.40930233,0.225118483,1.18,6,sa3019842
Ivan Melendez,ARI,AA,24,107,399,442,95,22,58,0.255639097,3.8017402692248594,0.51503759,0.217557251,0.880733944,9,sa3019859
Javier Vaz,KCR,AA,23,115,433,523,114,8,80,1.216666666,5.597298982452604,0.37075718,0.227027027,0.869281045,6,sa3019906
Taylor Young,LAD,AA,25,128,474,547,112,4,66,0.427536231,6.884921898108218,0.42058824,0.258358662,1.103448275,11,sa3019907
Brennan Milone,OAK,AA,23,127,478,548,133,15,75,0.504273504,4.078342362282562,0.41847826,0.242339832,0.648484848,6,sa3019974
Gavin Cross,KCR,AA,23,101,383,436,100,15,54,0.428571428,5.5060751566866415,0.45390071,0.25,0.962616822,4,sa3019985
Tanner Schobel,MIN,AA,23,122,455,520,96,10,67,0.475806451,5.85882560581053,0.53097345,0.209580838,0.872340425,1,sa3020009
Jorel Ortega,MIN,AA,23,121,364,417,78,10,49,0.431372549,5.546466817575796,0.49621212,0.215384615,0.821428571,6,sa3020090
Josh Hatcher,TEX,AA,25,107,417,454,125,12,60,0.245901639,6.338274515455552,0.48829431,0.255892255,1.833333333,4,sa3020115
Tommy Sacco Jr.,HOU,AA,25,102,391,448,95,10,49,0.626506024,5.29595344713742,0.46774194,0.237785016,0.95,3,sa3020125
Ben Ross,MIN,AA,23,123,410,458,87,11,48,0.294117647,5.198623627754665,0.5070922,0.223826714,1.047619047,3,sa3020353
Cole Young,SEA,AA,20,124,469,552,127,9,67,0.770114942,4.926159211746805,0.37692308,0.244736842,1.259842519,8,sa3020459
Carson McCusker,MIN,AA,26,98,370,420,104,15,56,0.324786324,4.649997052497885,0.45136187,0.289682539,1.265822784,8,sa3022304
Ray-Patrick Didder,SDP,AA,29,111,360,441,61,9,42,0.49137931,6.115407963267771,0.51219512,0.203252032,0.734513274,21,sa736824
Robbie Tenerowicz,SEA,AA,29,113,383,466,90,12,48,0.406976744,3.2095789711051697,0.5,0.202657807,1.448979591,40,sa738999
Bryan Torres,STL,AA,26,120,447,528,148,2,79,0.92,5.710100622387772,0.32722513,0.266846361,2.022222222,1,sa885119
