Name,Season,Team,Level,Age,G,AB,PA_x,AVG,H,HR,R,BB/K,Spd,Pull%,LD%,GB/FB,HBP,Off,MLB_PA
Matt Carpenter,2010,STL,AA,24,105,396,472,0.315656565,125,12,76,0.727272727,5.552877400283850,0.38485804,0.217532467,1.295238095,4,161.33091371290700,5773.0
Brandon Crawford,2009,SFG,AA,22,108,392,423,0.257653061,101,4,38,0.2,4.656545857703140,0.37209302,0.195804195,1.5,1,-45.23341843738080,6318.0
Carlos Santana,2009,CLE,AA,23,130,428,535,0.289719626,124,23,91,1.084337349,3.4489396665955000,0.58988764,0.183381088,0.79245283,7,143.8388148473690,8780.0
Michael Brantley,2008,MIL,AA,21,106,420,479,0.319047619,134,4,80,1.851851851,6.106966926823650,0.36934673,0.183937823,1.299270072,4,140.31323024579600,6149.0
Ketel Marte,2014,SEA,AA,20,109,443,472,0.302483069,134,2,63,0.292307692,7.081448774605040,0.48195876,0.195710455,1.803738317,1,111.27610126659200,4536.0
Matt Olson,2015,OAK,AA,21,133,466,585,0.248927038,116,17,82,0.755395683,3.1330444827783100,0.46865672,0.202416918,0.795918367,6,165.23438138090900,4473.0
Chase Headley,2007,SDP,AA,23,121,433,522,0.330254041,143,20,82,0.649122807,4.17563818994233,0.44135802,0.244514106,0.697183098,11,48.94508037353400,5761.0
Kevin Kiermaier,2013,TBR,AA,23,97,371,417,0.309973045,115,5,65,0.508196721,6.87140932132581,0.45859873,0.167763157,2.085365853,8,13.169409458115200,4040.0
Dansby Swanson,2016,ATL,AA,22,84,333,377,0.261261261,87,8,54,0.492957746,6.357775325232440,0.44318182,0.225680933,1.117021276,7,-1.677112859167210,4618.0
Jean Segura,2012,LAA,AA,22,94,374,414,0.294117647,110,7,50,0.403508771,7.256779032955300,0.40797546,0.182692307,1.833333333,8,-3.1558961354420800,5937.0
Cody Bellinger,2016,LAD,AA,20,114,399,465,0.263157894,105,23,61,0.627659574,3.924568759554980,0.41290323,0.209150326,0.602649006,3,110.7129682305450,4108.0
Todd Frazier,2009,CIN,AA,23,119,451,500,0.290465631,131,14,59,0.626865671,3.4526444785270400,0.48843188,0.231770833,0.666666666,2,41.43248808175010,4949.0
Fernando Tatis Jr.,2018,SDP,AA,19,88,353,394,0.28611898,101,16,77,0.302752293,7.716531765357030,0.46558704,0.24691358,1.152941176,6,121.14455373321300,2248.0
Willson Contreras,2015,CHC,AA,23,126,454,521,0.332599118,151,8,71,0.919354838,3.733204037042780,0.46717172,0.213917525,2.177083333,7,83.78048228059340,3712.0
Willy Adames,2016,TBR,AA,20,132,486,568,0.273662551,133,11,89,0.611570247,6.187358346168990,0.45283019,0.238888888,1.192,4,43.47444750479240,3610.0
AJ Pollock,2011,ARI,AA,23,133,550,608,0.307272727,169,8,103,0.511627906,7.5253486504279000,0.45052632,0.232608695,1.292207792,4,68.16886787209350,4152.0
Daniel Murphy,2008,NYM,AA,23,95,357,407,0.308123249,110,13,56,0.847826086,4.718225030971610,0.36050157,0.192926045,1.057377049,3,87.10447043920460,5755.0
Charlie Blackmon,2010,COL,AA,23,86,337,381,0.296735905,100,11,53,0.744186046,6.596048768543760,0.41860465,0.248275862,1.53488372,4,89.39620609486980,6825.0
Travis d'Arnaud,2011,TOR,AA,22,114,424,466,0.311320754,132,21,72,0.33,3.6900624180728600,0.45398773,0.19122257,1.080645161,8,-8.25727141895024,3332.0
Jed Lowrie,2007,BOS,AA,23,93,337,408,0.296735905,100,8,61,1.120689655,5.669498610056630,0.39501779,0.143884892,0.888888888,1,7.339547917911190,5196.0
Neil Walker,2007,PIT,AA,21,117,431,490,0.287703016,124,13,77,0.726027397,5.247861526565250,0.51515152,0.126404494,1.073333333,0,63.33077960899310,5152.0
Max Muncy,2014,OAK,AA,23,122,434,530,0.262672811,114,7,59,0.956521739,4.291241425558450,0.48997135,0.188953488,0.847682119,2,108.80206782070700,3592.0
