Season,Name,Team,Level,Age,G,AB,PA,AVG,H,HR,R,BB/K,Spd,Pull%,LD%,GB/FB,HBP,PlayerId
2017,"Omar Carrizales","COL","AA",22,120,432,492,0.247685185,107,5,47,0.5,4.870990859852401,0.42565598,0.135951661,1.325203252,5,"sa736953"
2018,"Jan Hernandez","PHI","AA",23,103,350,388,0.262857142,92,14,58,0.25,5.092921331255897,0.51709402,0.182608695,1.238095238,4,"sa737639"
2017,"Drew Ward","WSN","AA",22,121,413,480,0.234866828,97,10,47,0.419847328,1.146378265,0.48630137,0.22261484,1.894736842,4,"sa737690"
2018,"Drew Ward","WSN","AA",23,98,320,380,0.259375,83,13,59,0.578947368,4.421789980745658,0.43111111,0.253456221,1.28169014,5,"sa737690"
2016,"Matt Oberste","NYM","AA",24,124,413,462,0.283292978,117,9,53,0.475,2.816325068747827,0.40643275,0.191616766,1.268907563,2,"sa737845"
2017,"Matt Oberste","NYM","AA",25,129,455,516,0.285714285,130,5,59,0.495238095,3.905343717889703,0.36158192,0.218390804,1.518518518,5,"sa737845"
2017,"Brandon Bednar","SFG","AA",25,117,411,448,0.279805352,115,1,54,0.412698412,3.2048341427180334,0.41242938,0.251445086,1.3125,4,"sa737887"
2016,"Erich Weiss","PIT","AA",24,127,456,520,0.276315789,126,6,56,0.544444444,5.4968371424282125,0.39142091,0.159663865,1.34375,5,"sa737930"
2019,"Jonah Arenado","SFG","AA",24,112,378,409,0.243386243,92,4,32,0.325,2.802944861607143,0.46052632,0.206081081,0.753731343,3,"sa738199"
2019,"Jacob Heyward","SFG","AA",23,125,383,476,0.208877284,80,10,46,0.544217687,2.9111063951747784,0.55,0.187234042,0.969072164,10,"sa738955"
2019,"Brandon Wagner","NYY","AA",23,117,390,456,0.176923076,69,8,43,0.326530612,3.59323826640039,0.5203252,0.23553719,0.947368421,15,"sa738979"
2017,"Gunnar Heidt","TOR","AA",24,126,432,485,0.229166666,99,13,62,0.326086956,4.538884650274796,0.40397351,0.167235494,0.967741935,2,"sa827195"
2018,"Will Maddox","DET","AA",26,103,397,434,0.29974811,119,4,59,0.358208955,5.238577864527142,0.42772861,0.251515151,1.684782608,4,"sa827323"
2019,"Manuel Melendez","COL","AA",22,128,500,537,0.258,129,6,60,0.350877192,5.295443957359911,0.41906874,0.137931034,1.314814814,5,"sa828329"
2017,"Danny Mars","BOS","AA",23,119,477,518,0.303983228,145,6,62,0.347368421,4.892854171915156,0.41298701,0.235449735,1.02097902,3,"sa829046"
2018,"Danny Mars","BOS","AA",24,125,411,472,0.255474452,105,3,62,0.463917525,6.330617641187445,0.3875,0.18971061,0.938461538,4,"sa829046"
2017,"Zack Zehner","NYY","AA",24,128,431,501,0.259860788,112,11,63,0.512,5.221153805720078,0.41612903,0.173333333,1.755555555,1,"sa829122"
2019,"Alexis Pantoja","CLE","AA",23,117,416,453,0.257211538,107,2,45,0.388888888,3.7792629969345706,0.4045584,0.225146198,1.548076923,1,"sa829182"
2018,"Jeremy Rivera","BOS","AA",23,120,497,532,0.261569416,130,5,70,0.337209302,4.674557943858604,0.37349398,0.149253731,2.288461538,2,"sa829240"
2017,"Kyle Martin","PHI","AA",24,123,436,501,0.19266055,84,22,60,0.373134328,3.1735175706518017,0.55016181,0.15231788,0.497076023,10,"sa829261"
2018,"Josh Ockimey","BOS","AA",22,90,311,376,0.254019292,79,15,43,0.526785714,2.6513883372365696,0.42439024,0.195979899,1.105263157,1,"sa829375"
2018,"Luke Tendler","BOS","AA",26,108,374,418,0.272727272,102,15,43,0.351063829,1.445828270837592,0.45104895,0.193661971,0.861788617,5,"sa829644"
2019,"Luke Tendler","BOS","AA",27,122,413,461,0.234866828,97,11,46,0.357798165,2.8836463342354017,0.47077922,0.168874172,0.873134328,3,"sa829644"
2016,"Roemon Fields","TOR","AA",25,130,497,556,0.227364185,113,4,65,0.459183673,7.232157216740522,0.31295844,0.16751269,1.733333333,3,"sa829879"
2018,"Ryan Howard","SFG","AA",23,117,422,475,0.272511848,115,4,44,0.709090909,4.703679856910409,0.38461538,0.208791208,1.461538461,4,"sa857225"
2019,"Preston Palmeiro","BAL","AA",24,105,350,384,0.237142857,83,5,50,0.305882352,3.882765673248841,0.42647059,0.17293233,1.340425531,1,"sa857823"
2019,"Kyle Holder","NYY","AA",25,112,412,472,0.264563106,109,9,48,0.63076923,4.768950555672609,0.43888889,0.209302325,1.193548387,4,"sa857840"
