Season,Name,Team,Level,Age,G,AB,PA,AVG,H,HR,R,BB/K,Spd,Pull%,LD%,GB/FB,HBP,PlayerId
2013,"Christian Marrero","ATL","AA",26,130,399,487,0.230576441,92,8,42,1.166666666,4.323175128163274,0.4893617,0.228658536,1.2,2,"sa326115"
2011,"Seth Loman","CHW","AA",25,122,428,497,0.273364485,117,19,54,0.352459016,2.9072459458934885,0.53074434,0.174342105,1.109243697,24,"sa326152"
2012,"Seth Loman","CHW","AA",26,115,413,473,0.276029055,114,16,55,0.5,2.7925481001885624,0.44923077,0.20123839,0.911111111,13,"sa326152"
2013,"Brock Kjeldgaard","MIL","AA",27,134,446,526,0.221973094,99,24,61,0.437086092,2.15792805875,0.50501672,0.134482758,0.832116788,10,"sa326252"
2008,"Cyle Hankerd","ARI","AA",23,125,436,470,0.245412844,107,5,35,0.313432835,3.144723115461873,0.40374332,0.16802168,0.91875,9,"sa326676"
2009,"Cyle Hankerd","ARI","AA",24,132,440,510,0.26590909,117,7,57,0.5125,2.7533057266291667,0.42204301,0.210382513,0.926666666,17,"sa326676"
2008,"Chris Errecart","MIL","AA",23,104,360,411,0.247222222,89,15,57,0.302752293,3.253207577195683,0.45945946,0.228915662,1.823529411,10,"sa326743"
2009,"John Shelby","CHW","AA",23,115,428,493,0.242990654,104,10,64,0.636363636,6.758540538533089,0.52197802,0.192419825,0.859060402,3,"sa326756"
2010,"John Shelby","CHW","AA",24,111,398,440,0.248743718,99,11,63,0.216216216,7.604536973083995,0.56856187,0.131034482,0.839416058,3,"sa326756"
2011,"John Shelby","TBR","AA",25,117,415,445,0.248192771,103,16,62,0.202020202,6.218674685575058,0.51552795,0.178913738,0.946969696,4,"sa326756"
2011,"Jim Negrych","FLA","AA",26,121,398,458,0.3040201,121,5,60,0.865384615,4.146578740984441,0.39166667,0.161383285,1.530434782,1,"sa326763"
2008,"Stefan Gartrell","CHW","AA",24,122,409,466,0.254278728,104,14,54,0.424528301,4.65748942965674,0.4433657,0.156666666,1.364485981,6,"sa326944"
2009,"Stefan Gartrell","CHW","AA",25,101,361,412,0.285318559,103,19,72,0.464646464,6.501954561415619,0.4469697,0.188235294,1.15625,4,"sa326944"
2007,"Christopher Minaker","SEA","AA",23,101,353,390,0.226628895,80,3,38,0.4,3.1158279046660944,0.45392491,0.1875,1.127272727,4,"sa327099"
2010,"Emeel Salem","TBR","AA",25,128,519,586,0.262042389,136,4,72,0.753846153,6.337025774220029,0.43073593,0.193763919,2.042016806,8,"sa327108"
2012,"Jared Mitchell","CHW","AA",23,94,334,408,0.239520958,80,10,51,0.492063492,7.245560020253636,0.48356808,0.193236714,1.061728395,7,"sa327116"
2009,"Logan Parker","CIN","AA",24,125,392,450,0.221938775,87,6,37,0.546391752,3.9209204071063684,0.41860465,0.193103448,1.108108108,1,"sa327659"
2010,"Brandon Tripp","FLA","AA",25,118,394,450,0.289340101,114,8,52,0.306306306,4.070467640815647,0.51736111,0.184397163,0.854838709,18,"sa327660"
2008,"Matt Camp","CHC","AA",24,133,482,546,0.261410788,126,2,70,0.89090909,6.1062039420856795,0.37385321,0.142512077,2.198198198,5,"sa327674"
