Season,Name,Team,Level,Age,G,AB,PA,AVG,H,HR,R,BB/K,Spd,Pull%,LD%,GB/FB,HBP,PlayerId
2019,"Osvaldo Duarte","HOU","AA",23,123,458,497,0.233624454,107,12,59,0.201342281,7.365913453952857,0.46129032,0.217821782,1.576086956,7,"sa828299"
2018,"Michael Gettys","SDP","AA",22,125,431,473,0.229698375,99,15,51,0.19375,6.032152654252194,0.45289855,0.195402298,1.164948453,6,"sa828692"
2016,"Nicholas Torres","SDP","AA",23,93,373,397,0.28150134,105,6,40,0.166666666,4.888552085771148,0.50359712,0.242647058,1.263736263,6,"sa828872"
2017,"Nicholas Torres","SDP","AA",24,119,437,467,0.276887871,121,11,59,0.222222222,3.0476923239826887,0.43202417,0.285276073,1.647727272,4,"sa828872"
2016,"Logan Moon","KCR","AA",24,107,351,388,0.253561253,89,4,42,0.252427184,3.8372973662308594,0.30859375,0.213709677,1.532467532,2,"sa829029"
2016,"Nelson Ward","SDP","AA",23,123,453,528,0.220750551,100,6,55,0.444444444,6.019115922607293,0.49262537,0.199376947,1.089430894,7,"sa829034"
2016,"Nick Tanielu","HOU","AA",23,95,371,403,0.253369272,94,7,35,0.366666666,2.253684711341198,0.4031746,0.211038961,1.042016806,3,"sa829082"
2016,"Bo Way","LAA","AA",24,130,425,471,0.26117647,111,2,41,0.356321839,5.389583134409637,0.46397695,0.22960725,3.112903225,6,"sa829126"
2017,"Antonio Nunez","HOU","AA",24,114,363,419,0.223140495,81,2,34,0.45,3.906299667493532,0.45895522,0.232283464,1.010309278,5,"sa829188"
2016,"Corey Toups","KCR","AA",23,86,338,394,0.275147928,93,10,60,0.375,6.6818153019989275,0.516,0.227272727,1.149425287,10,"sa829321"
2019,"Jared Walker","LAD","AA",23,119,321,387,0.211838006,68,13,49,0.373134328,3.8093264528989144,0.43915344,0.256684491,0.674698795,14,"sa829364"
2019,"Cristian Santana","LAD","AA",22,102,399,413,0.300751879,120,10,45,0.113636363,1.8407738025,0.43312102,0.23051948,2.338028169,2,"sa829387"
2016,"J.P. Sportman","OAK","AA",24,120,483,515,0.267080745,129,5,63,0.31707317,6.3443768523192405,0.44554455,0.221374045,1.781818181,4,"sa829450"
